post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
141217736.unproject-management-part-1,2019-11-20T04:00:00.000Z,true,,,newsletter,everyone,Unproject Management – Part 1,I only use 8-bit Crayons,
141217735.tasks-and-lists,2019-10-09T03:00:00.000Z,true,,,newsletter,everyone,Tasks and Lists,Daily Epic Wins,
141217734.plan-the-planny-plan-in-planner,2019-12-04T04:00:00.000Z,true,,,newsletter,everyone,Plan the Planny Plan in Planner,I love it when a plan comes together.,
141217733.just-do-it,2019-10-16T03:00:00.000Z,true,,,newsletter,everyone,Just Do It,Shia LaBeouf,
141217732.dont-change-that-channel,2019-11-06T04:00:00.000Z,true,,,newsletter,everyone,Don’t Change That Channel,The Internet killed the video star.,
141217731.lets-get-sticky,2019-10-23T03:00:00.000Z,true,,,newsletter,everyone,Let’s Get Sticky!,Not a real word,
141217730.down-the-infographic-rabbit-hole,2020-02-26T04:00:00.000Z,true,,,newsletter,everyone,Down the Infographic Rabbit Hole,"Hare today, gone tomorrow.",
141217729.i-markdown,2020-01-29T04:00:00.000Z,true,,,newsletter,everyone,I ♥ Markdown,Marky Mark and the Funky Bunch,
141217728.bing,2020-02-12T04:00:00.000Z,true,,,newsletter,everyone,Bing!,Fight me. I'll be at the bike racks after school.,
141217727.projects-vs-operations,2020-01-15T04:00:00.000Z,true,,,newsletter,everyone,Projects vs Operations,"Knock knock, Neo",
141217726.how-not-to-be-a-jerk-online,2020-04-17T03:00:00.000Z,true,,,newsletter,everyone,How Not to Be a Jerk Online,Birds kinda freak me out.,
141217725.your-inbox-is-thine-enemy,2019-12-18T04:00:00.000Z,true,,,newsletter,everyone,Your Inbox Is Thine Enemy,Letters. We’ve got letters.,
141217724.digital-fluency-in-2024,2024-01-29T16:53:52.000Z,true,,,newsletter,everyone,Digital Fluency in 2024,,
141217723.minimalist-phone,2019-11-13T04:00:00.000Z,true,,,newsletter,everyone,Minimalist Phone,Rage against the Machine,
141217722.why-email,2019-12-11T04:00:00.000Z,true,,,newsletter,everyone,Why Email?,"Hi mom, did you get my message?",
141217721.unproject-management-part-2,2019-11-27T04:00:00.000Z,true,,,newsletter,everyone,Unproject Management – Part 2,I kinda miss Clippy,
141217720.format-your-style,2020-02-05T04:00:00.000Z,true,,,newsletter,everyone,Format Your Style,Long live Comic Papyrus,
141217719.focus-with-music,2020-01-08T04:00:00.000Z,true,,,newsletter,everyone,Focus with Music,Can ya feel the beat?,
141217718.plain-text-rebellion,2020-01-22T04:00:00.000Z,true,,,newsletter,everyone,Plain Text Rebellion,Carriage Return Line Feed,
141217717.is-the-stylus-mightier-than-the-keyboard,2020-02-19T04:00:00.000Z,true,,,newsletter,everyone,Is the Stylus Mightier than the Keyboard?,I have this weird obsession.,
141217716.how-to-break-up-with-adobe,2020-09-01T03:00:00.000Z,true,,,newsletter,everyone,How to Break Up with Adobe,OPINION #TABLEFLIP,
141217715.dougs-rules-of-work-at-home,2020-04-08T03:00:00.000Z,true,,,newsletter,everyone,Doug’s Rules of Work (At Home),Remember: NO CAPES!,
141217714.when-to-use-what-with-office-365,2020-03-11T03:00:00.000Z,true,,,newsletter,everyone,When to Use What with Office 365,Abusing PowerPoint,
